"","Parameter","Average.Coefficient.of.Variation"
"1","diversificationRate_1",0.071389001432884
"2","diversificationRate_2",0.0721284143078096
"3","diversificationRate_3",0.0723698669175676
"4","diversificationRate_4",0.0722950115302998
"5","turnover_1",0.194196843088419
"6","turnover_2",0.264519712392972
"7","turnover_3",0.295092232263287
"8","turnover_4",0.337439367405941
"9","samplingProportion_1",0.197819609769433
"10","samplingProportion_2",0.270186729187099
"11","samplingProportion_3",0.197025500501867
"12","samplingProportion_4",0.271195598432778
"13","samplingAtPresentProb",0.0883710811093571
"14","mrca",0.104254337716311
"15","origin",0.157615258702247
