"","Parameter","Average.relative.HPD.width"
"1","diversificationRate_1",0.232002218555465
"2","diversificationRate_2",0.233369870314887
"3","diversificationRate_3",0.236016762678676
"4","diversificationRate_4",0.235463719488559
"5","turnover_1",0.692883425040245
"6","turnover_2",0.936869905352096
"7","turnover_3",1.0387511015159
"8","turnover_4",1.22623279231455
"9","samplingProportion_1",0.698066275825261
"10","samplingProportion_2",0.950470914360238
"11","samplingProportion_3",0.695248745620476
"12","samplingProportion_4",0.957789879269469
"13","samplingAtPresentProb",0.297404521219274
"14","mrca",0.336583747648451
"15","origin",0.566307671661051
