"","Parameter","Relative.Error.at.Means"
"1","diversificationRate_1",0.0631724779492256
"2","diversificationRate_2",0.0592897080648638
"3","diversificationRate_3",0.061567484131161
"4","diversificationRate_4",0.0622656219140751
"5","turnover_1",0.154113861414719
"6","turnover_2",0.218855677419757
"7","turnover_3",0.244153561150749
"8","turnover_4",0.308499712248299
"9","samplingProportion_1",0.154640051494573
"10","samplingProportion_2",0.234815282424
"11","samplingProportion_3",0.154364032992812
"12","samplingProportion_4",0.239624449182338
"13","samplingAtPresentProb",0.0722925515396178
"14","mrca",0.0727789514696594
"15","origin",0.0896401386708661
